Case,Time
116,19.01986667
117,8.928933333
119,15.41403333
120,
130,19.1329
131,22.8936
133,
134,14.11926667
135,16.89316667
136,12.90831667
137,7.896516667
201,13.12206667
202,9.437316667
203,14.05203333
204,9.329466667
205,9.517183333
206,7.0991
207,10.33381667
208,11.00068333
209,13.04833333
210,8.189866667
LG105,
LG109,
116_repeat,14.87548333
117_repeat,7.123516667
119_repeat,16.09318333
120_repeat,9.039833333
130_repeat,10.05606667
131_repeat,14.15565
133_repeat,14.27655
134_repeat,27.0496
135_repeat,15.00921667
136_repeat,8.61165
137_repeat,10.39795
201_repeat,12.39895
202_repeat,9.9959
203_repeat,11.74821667
204_repeat,10.4557
205_repeat,12.88631667
206_repeat,10.14486667
207_repeat,11.66595
208_repeat,10.35585
209_repeat,11.6586
210_repeat,12.70046667
LG105_repeat,5.061833333
LG109_repeat,10.40288333
